index	key_guid	english	japanese	korean
0	49DF297A425CB670A783A7BEC1D493A8	Backward	戻る	후진
1	F664BF99487000E8349735BCF170E732	Confirm	決定	확인
2	9002AB554D0683FF9431A6B6171D7E35	Crouch	しゃがむ	웅크리기
3	AD81B3404BB2AE9F5CEC239B862AC3C2	Forward	前	전진
4	6796EB0444BD3CEFEE6A7DA7D20DEB95	Interact	そうさ	상호작용
5	05AB685C4328AED97967B3BE06ABCEB4	Inventory	持ち物	소지품
6	7D0917014F1AE2D1B891B8A71FEBECD5	Left	左	왼쪽
7	16A9A4EE44EDA4B9890942BE79305785	Return	もどる	돌아가기
8	CC13779F422AEE5BD5D6A6854E083B01	Right	右	오른쪽
9	CAF1BDBE4C4FC3EB55DFC69C9548C94C	Sprint	走る	달리기
10	D436690B4476F47639FAE092542F9B83	 FIRE \r\n- NOT READY -	発射\r\n準備未完了	발사\r\n준비 미완료
11	EFB9EE424E3FC12E850AF9B7BCFCFA60	 I said it to Stepan's face.	ステパンにも警告してやった	스테판에게도 경고해 줬다
12	B0EBE64449BDF6534B5C1CBE11525928	 I... I feel like I should remember some special moment to tell you about.	何か……特別な思い出を話すべきなんだろうが……	뭔가…… 특별한 추억이라도 얘기해야 할 것 같은데……
13	10A814EF49A5A986FCA11C9226CE6AA7	 RPM	回転数	회전수
14	5FB6A2014C30BCF55689A5A28C258BB3	 find recording equipment.	記録機器を見つけヨ	기록 장치를 찾아라
15	E8353DDD4142E58F20DC86B2B1997542	"""Dig"""	“掘れ” だ	“파라” 다
16	34E9F9AD44512D2C36EF5C84605D46C7	(c)Strata industries 1976-1982	©ストラータ工業 1976-1982	©스트라타 공업 1976-1982
17	7151D5EB49DBA4258347659DB5C38093	*** ALERT ***	*** 警告 ***	*** 경고 ***
18	614F20554A47094D97502DA9E3110883	*END OF RECORDING*	（再生終了）	（재생 종료）
19	255525E04EDA651B16DE24826BAE201F	*breathing struggles in the background*	（後ろで息苦しそうな音がする）	（뒤에서 숨 가빠하는 소리가 난다）
20	849901C345A6DA3DCCC90D95EB3142C3	*coughs in background*	（後ろで咳きこむ音がする）	（뒤에서 기침하는 소리가 난다）
21	1E5C081D4FCD0182B9F9BD94CCD77502	*static and rustling*	（ザーッ…… ザザッ……）	（지직…… 지지직……）
22	7E1AD51249C22C8CEC1A6DA16D717FC8	- Adjust RPM according to density.	- 密度に応じて回転数を調整	- 밀도에 따라 회전수를 조정
23	DAF320A1443D76302124AD99B401C7A4	- FIRE READY -	発射可能	발사 가능
24	60DC21FC438BCA18201CDFB549310222	Repair left engine manually.	左機関を手動で修理	좌측 엔진을 수동으로 수리
25	857E43BA4B5A804F851284A6C2AA320D	Repair right engine manually.	右 機 関 を 手 動 で 修 理	우 측 엔 진 을 수 동 으 로 수 리
26	FCCBAC5E44A87ADA141D72AAB539579E	Steer towards the designated waypoint.	指定の航路点へ操舵	지정된 항로점으로 조타
27	8BAA9C1C4BB8FA492945C5B7E1EFD33B	- Stop the vessel immediately.	- 掘削艇を直ちに停止	- 굴착기를 즉시 정지
28	1CEA1C834F3CE98AB3AEF6A1AF2617D0	... strange symptoms.	……例外はない	……예외는 없다
29	225B39D947C5276DD2C963B739431573	....Me? Talk?	……喋ればいいのか？	……말하면 되는 건가?
30	E41F05B649A94C20A01B529843DFFCFE	/15\r\nCGS	/15\r 血糖値	/15\r 혈당치
